Type,Land Area,Service Lines,Address,Price,Currency,Description,Datetime,Links
For General Purpose,640 sq.m.,,Armavir › Parakar,"$27,000",USD,640 square meters near the house is located in Tairov Aghayan streetTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/18119984
For Residential Development,405 sq.m.,,"Եղիշե Չարենցի փողոց, Վաղարշապատ","$30,000",USD,"Charents 1 district. , 1st line, corner plot of land near the house, frontage 30 meters from the street, without an intermediaryTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18324285
For Residential Development,1000 sq.m.,"Electricity, water supply, natural gas, sewerage",Armavir › Echmiadzin,"$30,000",USD,"A plot of land near the house is for sale, in the new Andranik district.Has all utilities.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18656215
For Residential Development,405 sq.m.,,"Վահան Տերյանի փողոց, Վաղարշապատ","$30,000",USD,"Etchmiadzin on Oktemberyan highway, at the entrance to Etchmiadzin (near the bridge)Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18476068
For General Purpose,3000 sq.m.,,Armavir › Echmiadzin,"12,000,000 ֏",AMD,"A plot of land near the house in the village of Jararat is for sale very urgently. It has a residential house, a greenhouse of 600 square meters, a nursery, an orchard, irrigation water. Real buyer is negotiable on everything.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17313100
Agricultural,600 sq.m.,,Armavir › Echmiadzin,"900,000 ֏",AMD,"600 square meters of greenhouse for sale, mostly 3 inches, 4 inches, 5 inches, 2 inches. Hurry up.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18219142
For General Purpose,2483 sq.m.,,"6-րդ փողոց 15, Մերձավան","$15,000",USD,"Land area. Address: Armavir region, Parakar community, village: Merdzavan. Suitable for cultivation (agricultural) or for general use. The area is 2400 square meters. M, the price is $ 12,000, but at a cheaper price, we will exchange it for a perfect car.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17811662
For General Purpose,2483 sq.m.,,"6-րդ փողոց 15, Մերձավան","$15,000",USD,"Land, intended for general use. It is located in Merdzavan, in the log. Area: 2400 square meters. Մ. The price is 12,000.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17628630
Agricultural,2382 sq.m.,,Armavir › Armavir,"$3,000",USD,"They are selling a rural plot in the village of Armavir, Armavir marz, the plot is a vineyard, uncultivated, the price is negotiable, the irrigation water is close to the garden. Price negotiable. Call for detailsTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18022883
Agricultural,5100 sq.m.,,"12-րդ փողոց, Մրգաշատ","$8,000",USD,"The plot of land is located on Norapat Haykavan road, 100 meters away. It has an artesian irrigation well. The plot is planted with alfalfa, the sowing was done in early spring. There are no problems with the documents. It has a very convenient location. In the spring, I will plant 210 fruit trees, black plums.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18083045
Agricultural,"162,000 sq.m.","Electricity, water supply, sewerage",Armavir › Echmiadzin,"$300,000",USD,"Garden for sale in Zvartnots district of Vagharshapat.The total area is 16.2 ha, all documents are available.9.5 ha - grapes (vertical and golden)3.7 ha - apricots and currants2.5 ha - walnuts0.5 ha - plumsThree-phase electricity, potable water, own artesian well, office and storage buildings.Partial repayment, exchange with an apartment or commercial space in Yerevan is possible.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/16173047
Agricultural,"11,000 sq.m.",,"1-ին փողոց, Մայիսյան","$8,500",USD,"1.1 hectare alfalfa field for sale in Metsamor. Irrigation water is available. Land in Armavir region, Metsamor MayTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17539531
For Residential Development,1040 sq.m.,,Armavir › Aknashen,"2,000,000 ֏",AMD,"The land is suitable for building a house, cultivating or building a greenhouseTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17961818
Agricultural,1000 sq.m.,,Armavir › Echmiadzin,"$4,000",USD,"Հնարավոր է փոխանակում մեքենայի հետ։Գյուղ Աղավնատուն, տնամերձ հողատարածք, սեփականաշնորհված։",Dec-12-2022_18-20,https://list.am/en/item/16257425
For Residential Development,400 sq.m.,,"Baghramyan street, Armavir","1,500,000 ֏",AMD,Call for questions.Translated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/17638270
For Residential Development,1100 sq.m.,,"Երեվանյան փողոց 24, Շահումյան","$3,000",USD,A nearby monastery in Aigeshat GyukTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/18180186
For Residential Development,1000 sq.m.,,"Էջմիածնի խճուղի 18, Ապագա","$11,500",USD,"Land near the house is for sale in Apaga village, behind the monument. Land area 1000 square meters (20 m front, 50 m depth) In case of a real buyer, it is negotiable.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17591640
Agricultural,7000 sq.m.,,Armavir › Echmiadzin,"$12,000",USD,"Located in Aygek village, suitable for building a farm or a greenhouse, irrigation water, gas and I will exchange the light with the car right next doorTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/15286267
For General Purpose,3000 sq.m.,,Armavir › Haykashen,"4,000,000 ֏",AMD,"The plot is located on a 2-way road, in 2 pieces, length 120m, width 24 + 5m, price negotiableTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18703536
For General Purpose,"15,000 sq.m.",,Armavir › Echmiadzin,"15,000,000 ֏",AMD,"There is a spring near the plot of land suitable for creating a farm fish hatchery, it is currently planted with wheat and barley. For details, call the indicated number.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/16064607
For Residential Development,730 sq.m.,,Armavir › Ptghunk,"$14,000",USD,Գտնվում է Մուսալեռի վերջնամասում։Վաճառվում է սեփականատիրոջ կողմից։Находится в конце Мусалера.Продается собственником.It is located at the end of the Musaler.For sale by the owner,Dec-12-2022_18-20,https://list.am/en/item/16741535
For Residential Development,1000 sq.m.,,Armavir › Echmiadzin,"$5,500",USD,"Very Urgently Negotiable Without an Intermediary PRICE NEGOTIABLE Urgently 1000 square meter plot of land adjacent to the house is for sale in the Dasht community of Echmiadzin region. The house is provided with permanent irrigation water, drinking water, electricity and gas.Great place to build a homeThere are houses in the neighborhood and they are already being built (clean black soil)With a view of Masis.For more information callEjmiacin EjmiatsinTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17640550
For Residential Development,2000 sq.m.,,Armavir › Echmiadzin,"$11,000",USD,"It is also possible to sell separately by 1000 meters without an intermediary. PRICE NEGOTIABLE. Urgently, a 2000 square meter plot of land is for sale in Dasht village of Echmiadzin region (Pokr Oshakan) The house is provided with constant irrigation water, there are all the conditions of drinking water, electricity and gasification.It is also suitable for establishing an orchard, a greenhouse.With a view of Masis.For more information callSeparate sale by 1000 meters is also possiblePrice: NegotiableEjmiacin EjmiatsinTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/15693801
Agricultural,8000 sq.m.,,Armavir › Aghavnatun,"7,000,000 ֏",AMD,The dovecote sped down the road to the front lineTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/18703321
For Residential Development,480 sq.m.,,Armavir › Echmiadzin,"1,600,000 ₽",RUB,"City of Etchmiadzin, Aram Manukyan 1-district, number 255, fence, old building, land 480 sq. M. 16 × 30 adjacent land plot. Price is negotiable...Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/15664593
Agricultural,"30,000 sq.m.",,Armavir › Armavir,"$75,000",USD,"A 3-hectare orchard of ""Pink Kishmish"" grapes is for sale, in the village of Baghramyan, Armavir region. The garden is well maintained, European galvanized metal pillars are installed. The cost of one hectare is 25 thousand dollars. The garden is a productive and functioning business.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18330223
Agricultural,"670,000 sq.m.",,Armavir › Armavir,"$1,260,000",USD,"67 hectares of vineyard for sale. 62 hectares of ""Kangun"" (Rkatsiteli) variety, 5 hectares of ""Saperavi"", ""Karmrahyut"" variety. It is a well-kept and well-kept garden.The garden is a productive and functioning business.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18390286
For Residential Development,3000 sq.m.,,Armavir › Echmiadzin,"$20,000",USD,300 meters from the lines of the stationThe water must be pumpedLayout of the houseTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/14782175
Agricultural,4200 sq.m.,,Armavir › Parakar,"$40,000",USD,Agricultural ice trainTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/18496639
For Residential Development,583 sq.m.,,Armavir › Echmiadzin,"$45,000",USD,583 c. Of which 220 sq. M. Մ. The half-built is very urgentTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/16696342
For Residential Development,600 sq.m.,,"Abovyan street, Armavir","$8,000",USD,"Land for sale in 108 districtSECOND ROW600 square meters196 sq. M. BuildingBasement with full area (196)Garage for sale, c. In front of Armavir Mashtots 3b building35 sq. M. $ 3500Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17867942
For General Purpose,"23,000 sq.m.",,"Բաղրամյան փողոց 1, Մուսալեռ","$400,000",USD,"The land is located on the Yerevan-Echmiadzin central highway, a very convenient place where you can use any activity, there is a 5000m greenhouse on the land.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18441861
For Residential Development,500 sq.m.,,Armavir › Parakar,"$15,000",USD,"VM984Armavir, Parakar/Musaler/Urgent sale500 square meters of land near the housecommunications are availablefencedTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18288882
Agricultural,7200 sq.m.,,"1-ին փողոց 3, Ոսկեհատ","$17,000",USD,"An orchard is for sale in the village of Voskehat, which is located 5 kilometers from the city of Etchmiadzin, on the road to Masis. The total area of the park is 0.72 hectares, 7200 square meters. There are about 370 4-year-old cherry trees and 88 4-year-old cherry trees in the park. No water problem at allTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18059478
