Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links,Service Lines,Condition,Facilities
Country House,Stone,200 sq.m.,2,5,2,,,Designer Renovation,,,,,,,Lorri › Tsater,"9,900 ֏ daily",AMD,"Լոռու մարզի Ծաթեր գյուղում գտնվող հյուրատունը իր հյուրընկալ դռներն է բացում բոլոր այն հյուրերի դիմաց, ովքեր ցանկանում են անմոռանալի հանգիստ Հայաստանի ամենից գողտրիկ վայրերից մեկում:Տունը գտնվում է անմիջապես ձորի եզրին, առջևում Դսեղի և Դեբեդի բացվող տեսարանով։Երկհարկանի հյուրատունը ունի 4 ննջասենյակ, մեծ հյուրասենյակ և խոհանոց, սանհանգույց և պատժգամբ։ Կահավորված է, ունի կոմունալ բոլոր հարմարությունները, մշտական տաք և սառը ջուր, Wi-Fi, ժամանցի համար նախատեսված թենիսի սեղան։ Շրջապատված է մեծ այգով՝ ձորի եզրին, որտեղ կան փայտե տաղավարներ՝ նախատեսված 40 և ավելի անձի համար, մանղալ, կոմունալ բոլոր հարմարություններ հիանալի հանգստի համար։Շրջապատված է վանքերով և տեսարժան վայրերով ինչպիսիք են՝ Արևածագի (Ղաչաղանի) ձոր, Ճգնավորի մատուռ, Հոռոմայր, Թուֆենկյան, Հաղպատ, Սանահին, Օձուն, Արդվի, Ախթալա, Քոբայրավանք, Լոռու բերդ, Դենդրոպարկ և այլն։ Կազմակերպվում են նաև քայլարշավեր դեպի նշված ուղղություններով ուղեկցորդի հետ։ Ցանկության դեպքում կազմակերպվում է նաև ձիավարություն:Ցանկության դեպքում կտրամադրվի տրանսպորտային միջոց։Գինն իր մեջ ներառում է նախաճաշ՝ գյուղական սննդարար մթերքով։Կարող եք մեզ գտնել ինստագրամով՝ tsater_guest_house և ֆեյսբուքով՝ Lori Guest House",Nov-24-2022_23-03,,,https://list.am/en/item/16449902,,,
House,Stone,60 sq.m.,1,3,1,Available,1 spot,Euro Renovation,600 sq.m.,8+,Yes,No,By Agreement,Without prepayment,Lorri › Stepanavan,"15,000 ֏ daily",AMD,"Сдаём дом посуточно в городе Степанаван. Есть все удобства для комфортного проживания: Горячая и холодная вода, газ, мангальная зона, газон, сад с плодороднымы деревьями. Хорошее настроение и комфортный отдых в прекрасном городе с чудесной природой гарантируем.",Nov-24-2022_23-03,,,https://list.am/en/item/18163413,,,
House,Stone,36 sq.m.,1,2,1,,,Major Renovation,30 sq.m.,6,Yes,No,Included,By Agreement,"Մեղապարտի փողոց 17, Ստեփանավան","9,000 ֏ daily",AMD,For more information callHeating system gas stoveTranslated from Armenian,Nov-24-2022_23-03,,,https://list.am/en/item/16310867,,,
Townhouse,Stone,300 sq.m.,3,5,2,,,Major Renovation,1000 sq.m.,,,,,,Lorri › Karadzor,"70,000 ֏ daily",AMD,"Only 10 km away from Vanadzor, the private house in Karadzor is a real fairy tale place to be disconnected from reality and enjoy a dreamy rest.The 3-storey guest house is designed for more than 15 people. Here are all the necessary preconditions for unforgettable entertainment.Swimming poolpavilion (besetka)sieve, fireplace ️pin, table tennisbonfirewifi, dishesDepending on the number of days booked, the price may vary.For more information call.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17519040,,,
House,Stone,200 sq.m.,2,4,1,,,Designer Renovation,,,,,,,Lorri › Vanadzor,"40,000 ֏ daily",AMD,"The private house in Vanadzor is a wonderful place to get away from everyday worries and enjoy your incredible vacation.The 2-storey guest house is designed for more than 13 people. Here are all the necessary preconditions for your fairy-tale entertainment.Heating:Pavilion (besetka)մաղալ ️:Bait, campfirewifi, dishesThe daily rate may vary depending on the number of people and booking days.For more information call.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17520049,,,
House,Stone,100 sq.m.,2,4,2,,,Cosmetic Renovation,100 sq.m.,,,,,,"Վիրահայոց փողոց 78, Ստեփանավան","15,000 ֏ daily",AMD,"A two-storey cottage is for daily rent in Q. Stepanavan Georgian-Armenian 62/1It is provided with all the communal facilities, constant gas, hot and cold waterIn the yard there is a barbecue, a garden, parkingThe house has 3 bedrooms, 2 bathrooms, a living roomTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17851205,,,
House,Stone,100 sq.m.,1,4,1,,,Cosmetic Renovation,100 sq.m.,,,,,,Lorri › Stepanavan,"20,000 ֏ daily",AMD,"Находится в центре города, есть все удобства",Nov-24-2022_23-03,,,https://list.am/en/item/17852957,,,
House,Stone,360 sq.m.,3,6,2,,,Designer Renovation,1500 sq.m.,,,,,,Lorri › Vanadzor,"300,000 ֏ monthly",AMD,"От собственника Сдается в аренду новый 3-х этажный дом в курортном городе Ванадзор. В доме: 2 санузла, 6 спальных комнат, 1 очень большая кухня, зал. Есть вся необходимая техника, мебель, джакузи, гараж, хороший сад. Месячная кварплата- 300.000 драм.",Nov-24-2022_23-03,,,https://list.am/en/item/17990491,,,
House,Stone,28 sq.m.,2,1,1,Available,1 spot,Euro Renovation,1200 sq.m.,4,Yes,No,Included,By Agreement,"Եկեղեցու փողոց 1, Ստեփանավան","25,000 ֏ daily",AMD,"Our address is c. Stepanavan, Church street, t. 1, next to Saint Sargis Church, in the city center.The house consists of 3 separate parts with separate entrances. Total for up to 14 people.Can be rentedBoth separately and in full version.The mansion has:*Bedroom - 2 pcs*Living room - bedroom - 3 pcs* 2 beds - for 2 people* 3 beds for 1 person.* kitchen studio with all its accessories - 3 pcsconstant hot and cold water.* refrigerator - 3 pcs*TV-1 pc* Hair dryer - 3 pcs* Steam iron - 2 pcs* electric tiles-6*electric kettle - 3 pcs*electric coffee maker - 3 pcs* Bathroom, bathtub - 3 pcs*Armchair-bed-2 pcs.*Double sofa bed - 1 pc*Towels large and small - according to the number of peopleIf needed, 3 more beds can be added without changing the price.Free*garden with swing, tables and chairs* grate* wifi internet.Sunny.Translated from Armenian",Nov-24-2022_23-03,"TElevision, internet, barbecue oven, gazebo","FRidge, stove, coffee maker, washing machine, water heater, iron, hair dryer",https://list.am/en/item/16208808,,,
House,Stone,38 sq.m.,2,3,1,Available,1 spot,Euro Renovation,1200 sq.m.,6,Yes,No,Included,By Agreement,"Եկեղեցու փողոց 1, Ստեփանավան","30,000 ֏ daily",AMD,"Have you decided to spend your vacation in a wonderful place, haven't you decided yet?We can help you with that.In front of you, the newly built, comfortable, beautiful and unique JS guest house has opened its hospitable doors, which is located in one of the cozy corners of the unique nature of Lori, in the wonderful Stepanavan.The clean and clear air, the cold water, the beautiful forests, the rest and tranquility of the city will captivate you, you will not look for another resort.Our address is c. Stepanavan, St. Church, t. 1, next to St. Sargis Church.For daily rent.Includes.* 1 bedroom with 1 bed - for 2 people.* 1 bedroom with 2 single beds.If necessary, 1 bed can be installed without price change.Generally designed for 5-6 people.Free '* with garden swing, table with chairs* barbecue* wifi internet* Bathroom* bathroom* kitchen studio, with constant hot and cold water*refrigerator* electrical panels* Electric kettle* electric coffee maker.Too much.New building.Translated from Armenian",Nov-24-2022_23-03,"TElevision, internet, barbecue oven, gazebo","FRidge, stove, coffee maker, washing machine, water heater, iron, hair dryer",https://list.am/en/item/16208715,,,
House,Stone,120 sq.m.,2,5,1,Available,Not available,Cosmetic Renovation,,7,Yes,Yes,Included,By Agreement,"Forest Street, Stepanavan","25,000 ֏ daily",AMD,"The whole second floor of the guest house is for rent in Gargar village of Stepanavan region, it has 4 bedrooms, 1 living room, a kitchen, a bathroom, two big and small balconies. 3 km away from the guest house is the Dendropark Botanical Garden, with its unique plant species and wonderful deer. The village has beautiful sights. Kindergarten, through which the river flows, artificial lakes, where there are large and comfortable pavilions. St. Hovhannes Church operates in the village. Enjoy your vacation in the lap of Lori nature. The house also has UNLIMITED HIGH SPEED INTERNET (WiFi) The daily fee is 25,000 drams. Call the phone number in the picture.Payment is possible from the mentioned options in a convenient way for you: Cash, card transfer, Idram, Easy Pay, TelCell.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/15646521,,,
Country House,Stone,126 sq.m.,2,5,1,,,Cosmetic Renovation,"25,000 sq.m.",,,,,,Lorri › Alaverdi,"55,000 ֏ daily",AMD,"""VL"" guest house offers family vacations in Lori, surrounded by nature.The guest house is very suitable for lovers of passive and semi-active recreation.There are no neighboring houses around, only you and nature.The guest house is surrounded by a large orchard. A river flows near the guest house.There is a children's pool, hammock, swing, all facilities for outdoor parties.The guest house is offered both for full rent and separately according to the floors. You can also reserve individual seats.There is an individual approach option.Гостевой дом Հյուրատուն The guest house is designed for 10 adults and 2 (up to 12 years old) children.We have a long list of special offers. Apply.The daily wage is subject to revision depending on the number of days occupied, the availability of children and the services provided.Write and call for details.Call with Code -VL22/7/50 and get up to 50% discount.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17918648,,,
House,Stone,247 sq.m.,2,4,2,,,Cosmetic Renovation,,,,,,,Lorri › Stepanavan,"15,000 ֏ daily",AMD,Daily rent house with all utilitiesTranslated from Armenian,Nov-24-2022_23-03,,,https://list.am/en/item/18081534,,,
House,Stone,100 sq.m.,1,3,1,Available,1 spot,Cosmetic Renovation,60 sq.m.,6,Yes,Yes,Not included,By Agreement,Lorri › Stepanavan,"20,000 ֏ daily",AMD,"The house is equipped with all utilities. It has 3 bedrooms, 1 living room, kitchen, bathroom and open balcony. A maximum of 8 people can be accommodated.The house is fully rented for AMD 20,000.StepanavanThe guest house#house for daily rentTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/16340751,,,
House,Stone,140 sq.m.,2,4,1,,,Euro Renovation,500 sq.m.,,,,,,"Улица Теряна 2/2, Ванадзор","400,000 ֏ monthly",AMD,"Сдается в аренду частный дом от сообственника, евроремонт, не долеко от центра города! Все подробности по телефону",Nov-24-2022_23-03,,,https://list.am/en/item/18278910,,,
House,Stone,65 sq.m.,1,4,2,,,Euro Renovation,500 sq.m.,,,,,,Lorri › Gyulagarak,"20,000 ֏ daily",AMD,"The house has all the communal facilities, it is renovated, it has green algae.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17864765,,,
