Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
Country House,Monolith,500 sq.m.,2,4,2,3 or more spots,Designer Renovation,800 sq.m.,Tavush › Dilijan,"55,000 ֏ daily",AMD,"A luxurious two-storey house is for daily rent in Dilijan.Attention ․․․ The house is given both as a whole and on separate floors.The cost of the 1st floor is 30,000 dramsThe cost of the 2nd floor is 30,000 dramsAppendix ․ (the yard is common)If you want to rent only the first or second floor and you want the other floor to be empty, then in your wish, the first or second floor will be just closed and the cost of the day for one floor will be 30,000 drams.On the 1st floor of the house there is:2 bedroomsInternet: Wi-fi,smart tv,they wantconstant hot and cold water,central heating (baxi),dishes,bedding.1st floor: 1 bedroom, living room, bathroom, kamen, TV, refrigerator and sofa.On the 2nd floor: 1 bedroom, living room, bathroom, TV, refrigerator, TV, sofa.If you rent the whole house, it can accommodate up to 10 people per night.Check in - 14:00:Check out - 12:00:Spend your vacation in beautiful Dilijan.Call in advance to make a reservation.HOLD YOUR UNIQUE HOLIDAY IN DILIJAN.Code AghstevTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17806963,,8+,Yes,No,Included,By Agreement
Country House,Stone,1000 sq.m.,3,8+,3+,2 spots,Designer Renovation,2000 sq.m.,Tavush › Dilijan,"120,000 ֏ daily",AMD,"This mansion has 3 floors and is located in Dilijan. It has 7 bedrooms, 4 bathrooms, a spacious living room (with a fireplace), a comfortable kitchen.Outside there is a large swimming pool, a spacious pavilion (designed for 16 people), an outdoor kitchen, a barbecue, all the necessary facilities for a barbecue.For details call ․․․Check in - 14:00:Check out - 12:00:From Friday to Sunday the price may be different.Call in advance to make a reservation.Code ComfortTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17710709,,8+,Yes,No,Included,By Agreement
Country House,Stone,1000 sq.m.,3,8+,3+,,Major Renovation,,Tavush › Dilijan,"1,000 ֏ daily",AMD,"Guesthouse Jan Villas:Great option and good environment.A private house with beautiful views is for rent.The house is located in the best district of Dilijan, 10 minutes close to the center. The guest house is completely separate / 3-storey /. It has a separate entrance, a fenced area, a separate large yard, pavilions, both open and closed, a swimming pool.The house is given both as a whole and with separate floors.15-bedroomInternet: Wi-fi,smart tv,constant hot and cold water,individual heating system (baxi),dishes,bedding.Closed and open pavilions for up to 50 people.The 1st floor has a separate entrance: 6 bedrooms, a living room, a bathroom, TVs, a refrigerator and a sofa.The 2-3rd floors can be given together, it has a separate entrance: 9 bedrooms, a living room, 2 bathrooms, TVs, a refrigerator, a sofa and 2 balconies.If you rent the whole house, it can accommodate up to 30 people per night.The cost per person is 10 thousand drams.It is possible to rent it for a long time.Admission after 12:00 / any time /Departure until 12.00Spend your vacation in beautiful Dilijan.Translated from Armenian",Dec-12-2022_21-46,,,,,https://list.am/en/item/16701897,,,,,,
House,Stone,1000 sq.m.,3,8+,3+,,Designer Renovation,,Tavush › Dilijan,"1,000 ֏ daily",AMD,"Chill House:Great option and good environment.A private house with beautiful views is for rent.The house is located in the best district of Dilijan, 10 minutes close to the center. Is completely separate / 3-floor /. It has a separate entrance, a fenced area, a separate large yard, pavilions, both open and closed, a swimming pool.12-bedroomInternet: Wi-fi,smart tvsconstant hot and cold water,individual heating system (baxi),dishes,bedding.Closed and open pavilions for up to 50 people.In case of renting the whole house, more than 30 people can be accommodated overnight.It is possible to rent it for a long time.Admission from 14.00Departure until 12.00Spend your vacation in beautiful Dilijan.Translated from Armenian",Dec-12-2022_21-46,,,,,https://list.am/en/item/16982808,,,,,,
Country House,Stone,200 sq.m.,2,6,2,3 or more spots,Major Renovation,,Tavush › Dilijan,"40,000 ֏ daily",AMD,"350,000 per monthCode 0129 A two-story private house is for daily rent in Teghut, Dilijan.The house has 4 bedrooms, 2 living rooms, 2 kitchens, 2 bathrooms.It is equipped with all utilities, including constant hot and cold water, gas.Is available.BeddingDishMangalBottles of barbecueWe can accept 8 people at the same time.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/14757358,,8+,Yes,No,Not included,By Agreement
House,Stone,125 sq.m.,1,4,1,3 or more spots,Euro Renovation,,Tavush › Dilijan,"50,000 ֏ daily",AMD,"500,000 per monthCode 0019 Own house in Teghut for daily rentThere are 3 bedrooms, 1 living room, 1 bathroom, necessary dishes, bedding, constant hot and cold water. BAXI heating system, pavilion in a beautiful and unique garden. A tent site where one tent is available, you can pitch your own tent if you wish. Possibility to light a campfire,barbecue not only in the garden, but also on the terrace. Can accommodate up to 12 peopleThe safest and oxygen-rich Tavush is waiting for you with open arms.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/14488194,,8+,Yes,No,Not included,By Agreement
House,Stone,1500 sq.m.,3,3,1,,Major Renovation,,"Օրջոնիկիդզե փողոցի 1-ին նրբանցք, Դիլիջան","25,000 ֏ daily",AMD,"""HovDil"" guest house is designed exclusively for family vacations.The calm landscape and clean air of the city have a positive effect on vacationers. The guest house is surrounded by dense forests and is a great place for complete relaxation as well as trekking. The second floor of the guest house is for rent. It has 3 rooms, 2 bedrooms and a large bright living room. The house is equipped with all utilities, has a large garden, a large balcony with a beautiful view, internet connection (wi-fi) For more information, call the phone number below.Person: AMD 7000 (up to 6 people)Entrance: 12-00 p. M. M. AfterExit: Until 12-00p. M.:Translated from Armenian",Dec-12-2022_21-46,,,,,https://list.am/en/item/14566749,,5,Yes,No,By Agreement,By Agreement
House,Stone,200 sq.m.,3,3,1,,Major Renovation,2000 sq.m.,Tavush › Dilijan,"25,000 ֏ daily",AMD,"The beautiful guest house ""HovDili"" is for rent, located in the elite Takhta district of Dilijan.All conditions are created for a complete rest. We can host up to 5-6 people. The house is renovated, has all utilities. It also has a balcony with a beautiful view. There is a pavilion and a grill in the yard. The house is located in the lap of nature, call for questions.Person: AMD 7000 (up to 6 people)Entrance: 12-00 p. M. M. AfterExit: Until 12-00p. M.:Translated from Armenian",Dec-12-2022_21-46,,,,,https://list.am/en/item/17805874,,5,Yes,No,By Agreement,By Agreement
House,Stone,250 sq.m.,2,3,1,Not available,Major Renovation,,Tavush › Dilijan,"30,000 ֏ daily",AMD,"A stone house is for rent in Dilijan. With all communal facilities, capitally renovated.It is for daily rent - 25,000 AMD.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17762412,,8+,Yes,No,Included,By Agreement
House,Stone,300 sq.m.,2,5,1,3 or more spots,Major Renovation,,Tavush › Dilijan,"40,000 ֏ daily",AMD,"A stone house for rent in Dilijan. With all utilities, completely renovated. It has a large pavilion for up to 20 people. A large parking space is provided with dishes and bedding. Check-in time is 13:00, check-out time is 12:00.It is given at a daily rate of 40,000It varies depending on the number of guests.NEW PRICE DIFFERENT, CALL FOR DETAILSDECEMBER 31-JANUARY 5---450,000 DR.Also comes LONG TERM!Besides this there is 1 more house, see my ads.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17514430,,8+,Yes,No,Included,By Agreement
House,Stone,120 sq.m.,2,3,1,Not available,Major Renovation,300 sq.m.,Tavush › Dilijan,"30,000 ֏ daily",AMD,#Dilijan #wonder nature #calm environment #Translated from Armenian,Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17892973,,8+,Yes,No,Included,By Agreement
House,Stone,55 sq.m.,2,2,1,2 spots,Major Renovation,400 sq.m.,Tavush › Dilijan,"13,000 ֏ daily",AMD,"The house is located right in the center of the city, there are two supermarkets, banking, communication and other services, a school, a kindergarten nearby. The house is provided with all the household amenities, only one floor is for rent. Dishes and bedding are provided.Translated from Armenian",Dec-12-2022_21-46,Available,,"Fridge, stove, washing machine",,https://list.am/en/item/18710799,"Television, barbecue oven",4,Yes,Yes,Included,By Agreement
House,Stone,114 sq.m.,1,6,1,Not available,Major Renovation,1200 sq.m.,"Kalinini street, Dilijan station","45,000 ֏ daily",AMD,"A private house with a pool with all its amenities is for rentThe house is in the lap of nature6 rooms (3 bedrooms)1 kitchen1 bathroom1 lobbyHas a large yardThere is a place for a bonfire, a playgroundIt has a big balcony, in front of which there is a wonderful view, there is a barbecueAll are providedwith amenities, there is wifiTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/16379979,,8+,Yes,Yes,Not included,By Agreement
House,Stone,80 sq.m.,1,2,1,Not available,Designer Renovation,500 sq.m.,"Barekamutian street, Dilijan station","40,000 ֏ daily",AMD,"Օրավարձով է տրվում առանձնատուն Դիլիջանում` ։ Առանձնատունը ունի 1 ննջասենյակ, մշտական տաք և սառը ջուր, գազ, սառնարան, անհրաժեշտ բոլոր պարագաները։ Առանձնատուն մեկ օրվա գինը շաբաթ և կիրակի - 50.000 դր.Նախատեսված է 2-3 անձի համար. Սեփական բակով և այգիով...Check in - 13:00Check out- 12:00",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/18484870,,3,Yes,Yes,Included,By Agreement
House,Stone,50 sq.m.,2,2,1,1 spot,Euro Renovation,50 sq.m.,"Улица Калинина, Дилижан","12,000 ֏ daily",AMD,Cottage designed for up to 4 people Call the picture number 098 of the same numberTranslated from Armenian,Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17880368,,4,Yes,No,Included,By Agreement
House,Stone,200 sq.m.,2,3,1,,Euro Renovation,1300 sq.m.,Tavush › Dilijan,"5,000 ֏ daily",AMD,A 3-bedroom apartment is for rent on Yakobjanyan Street.Translated from Armenian,Dec-12-2022_21-46,,,,,https://list.am/en/item/18064938,,,,,,
House,Stone,150 sq.m.,2,3,1,2 spots,Designer Renovation,600 sq.m.,Tavush › Dilijan,"30,000 ֏ daily",AMD,"""Tati Tun"" private house with all utilities is for daily rent. Located in the fir tree district. The guest house has two bedrooms, a living room, a kitchen with a bar, a bathroom and an open balcony.Stereo speakers are installed in the living room. The house has a parking area with closed gates. There is a chat room outside.We are waiting with love.Translated from Armenian",Dec-12-2022_21-46,Available,,"Fridge, coffee maker, washing machine, iron, hair dryer",,https://list.am/en/item/16502662,"Television, internet, barbecue oven, gazebo",7,Yes,Negotiable,By Agreement,By Agreement
Country House,Stone,300 sq.m.,3,8+,3+,3 or more spots,Euro Renovation,300 sq.m.,Tavush › Dilijan,"12,000 ֏ daily",AMD,"Guesthouse for rentThe daily fee for 1 room, intended for 2 people is 12000 AMD.The whole guest house is 100000 AMD for 1 day.Each room has its own bathroom with 9 + roomsThere is an indoor pool, a barbecue, a tonir, a large pavilion, a green yard, tennis.Equipped with new equipment, everything is availableThere is hot water, cold water, big balconyEvery convenienceTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17919929,,8+,Yes,No,Included,By Agreement
Country House,Stone,100 sq.m.,1,4,2,Not available,Euro Renovation,450 sq.m.,"Զորավար Անդրանիկ փողոցի 3-րդ փակուղի 1, Դիլիջան","60,000 ֏ daily",AMD,"Ara House Resort - House in Dlijan——New Year values are determined, you can cheer ․․․——* 3 bedrooms* 2 bathrooms* Large living room* kitchen* pavilion - 14 + people* barbecue* outdoor kitchen* large yard——The private house is located in Dlijan, has 3 bedrooms, 2 bathrooms, a large living room-kitchen. Equipped with all utilities. There is a big pavilion in the yard.——* 8 people——Admission: 14:00Departure: 12:00Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17395240,,8+,Yes,Yes,Included,By Agreement
Country House,Wooden,180 sq.m.,2,3,2,3 or more spots,Designer Renovation,,"Կամոի փողոց 1, Dilijan","200,000 ֏ daily",AMD,"Ecologically clean, newly built wooden private house in Dilijan chateau village complex.In the territory of the private house there is a private parking lot, a children's playground, 24-hour security control. The house has a sauna, fireplace, heating system, Wi-Fi, smart TV, ացյալ all other amenities to fully spend your family vacation.Translated from Armenian",Dec-12-2022_21-46,Available,,"Fridge, stove, microwave, coffee maker, washing machine, iron, hair dryer",,https://list.am/en/item/17102393,"Television, internet, sauna, fireplace, barbecue oven, alarm system",7,Yes,Yes,Included,By Agreement
Townhouse,Stone,181 sq.m.,3,5,3+,2 spots,Major Renovation,,"Շամախյան փողոց, Դիլիջան","$1,500 monthly",USD,"Сдается 3-этажный коттедж (тоунхаус) в Шамахянском районе в городе Дилижан. Коттедж находится в закрытой территории с охраной, бассейном, спортивным комплексом, тренажерным залом, теннисной и баскетбольной площадкой, детской площадкой, бильярдом, настольным теннисом, рестораном.На первом этаже коттеджа – гараж, на втором этаже - гостиная, кухня, санузел, на третьем этаже - три спальни, санузел, два балкона с прекрасным видом на горы. Коттедж полностью отремонтирован и оснащен мебелью и техникой. Имеется индивидуальная система отопления, Wi-Fi интернет, стиральная машина, посудомоечная машина, посуда.В доме имеется телевизор с пакетом из более чем ста каналов, Internet, WiFi, телефон.Из оборудования - газовая плита, духовой шкаф, вытяжная система, микроволновка, электрический чайник, двухкамерный холодильник, посудомоечная машина, стиральная машина, пылесос, фен, утюг.В охраняемом городке имеется крытый спортивный комплекс, с залом для игры в баскетбол, волейбол и мини футбол, отапливаемый 25 метровый бассейн с душевыми, а также оборудованный зал для занятий фитнесом, теннисный корт, зона для пикников.Цена аренды дома не включает коммунальные платежи за воду, электричество и газ, а также исходящие звонки из домашнего телефона.Վարձով է տրվում 3 հարկանի Քոթեջ (Թաունհաուս) Դիլիջանի Շամախյան թաղամասում, կահույքով և բոլոր հարմարություններով։ 3 ննջարան, խոհանոց, հյուրասենյակ, 3 սանհանգույց: Ջեռուցվում է բաքսի համակարգով։ Առկա է 2 պատշգամբ գեղեցիկ տեսարաններով, փակ մեծ լողավազան, թենիսի կորտ, մարզասրահ, շուրջօրյա անվտանգության ծառայություն, wifi և այլն։For rent a cottage (Townhouse) in Dilijan. It is located in in a closed territory, which has security, swimming pool, sports complex, gym. Cottage has three bedroom, which is accommodated for 5-6people. Two restrooms, shower cabin, living room, kitchen, terrace and two balconies with an amazing view of mountains.Վարձով բնակարան, վարձով առանձնատուն, առանձնատուն, քոթեջ, թաունհաուս, բնակարան, վարձով, տուն, վարձով բնակարան.Квартира в аренду, частный дом в аренду, дом, частный дом, коттедж, таунхаус, квартира, аренда.Apartment for rent, private house for rent, private house, cottage, townhouse, apartment, rent, house.",Dec-12-2022_21-46,Available,,"Fridge, stove, dishwasher, washing machine, water Heater, iron, hair dryer",,https://list.am/en/item/18428896,"Television, internet, swimming pool, billiard, gazebo, alarm system",7,Yes,No,Not included,1 month
