Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments
Retail Space,,43 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Abovian,"280,000 ֏",AMD,"Space for rent, frosted glass, gas heating, warm floor, air conditionerTranslated from Armenian",Dec-12-2022_20-02,Outdoor parking,https://list.am/en/item/18693421,Direct Lease,1 year,By Agreement,Not included
Retail Space,,40 sq.m.,,,,,Kotayk › Arinj,"150,000 ֏",AMD,"A grocery store is for rent in Arinj village. On the central street. Near the municipality hall. Currently operating, suitable for other activities as well, grocery store for rentTranslated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/17208125,,,,
Multifunctional Space,,150 sq.m.,Not available,Not available,Other,Common from the Street,Kotayk › Yeghvard,"333,000 ֏",AMD,"Կոդ՝ D-19013Վարձով է տրվում 1 հարկանի կոմերցիոն տարածք Եղվարդում։ Տարածքը զրոյական վիճակում է, առաջին գիծ։ Մուտքի դուռը՝ ապակեպատ, պատուհանները՝ եվրո։ Ունի սանհանգույց, մշտական ջուր և գազ։ Հողատարածքը՝ 800քմ է։Գործակալության միջնորդավճարը կազմում է 50%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։2-storey commercial area for rent in Eghvard. The area is in zero condition and is stationed on the first line. The entrance door is glass-made, the windows are euro-based. The area has a bathroom and is supplied with constant water and gas.The commission of the Real Estate Agency is 50%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You․",Dec-12-2022_20-02,,https://list.am/en/item/17278574,Direct Lease,6 months,1 month,Not included
Everything Else,,485 sq.m.,Available,Not available,First Line,Common from the Street,Kotayk › Kasagh,"900,000 ֏",AMD,"D-22795Վարձով է տրվում կոմերցիոն տարածք Քասախ գյուղում ։ Տարածքը միջին վերանորոգված է, առաջին գիծ։ Մուտքի դուռը՝ ապակեպատ, մետաղյա, պատուհանները՝ եվրո, հատակը՝ պրես գրանիտ, էլ. Լարերը և խողովակները՝ փոխված։ Ունի խոհանոց, սանհանգույց, եռաֆազ հոսանք, մշտական ջուր և գազ։ Արժեքը՝ 900 000 դրամ:Գործակալության միջնորդավճարը կազմում է 25%: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։Commercial area for rent in Qasakh village. The area is middle renovated and is and is stationed on the 1st line. The entrance door is glass-made, the windows are euro-based, the floor is covered bysolid granite, the electric wires and pipes are newly changed. The area has a kitchen, bathroom, three-phased electricity and is supplied with constant water and gas.The commission of the Real Estate Agency is 25%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_20-02,,https://list.am/en/item/18170389,Direct Lease,6 months,1 month,Not included
Multifunctional Space,,820 sq.m.,Not available,Not available,Other,Common from the Street,Kotayk › Yeghvard,"$8,200",USD,"Կոդ`D-17819Վաճառվում է 820քմ բնակելի կառուցապատման նշանակության հողատարածք Եղվարդ ""Կանաչ Առու"" թաղամասում: Բոլոր կոմունիկացիաները մոտակայքում են: Ճակատի երկարությունը 20,5մ։Գործակալության միջնորդավճարը կազմում է 2%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։820 sq. M residential meaning plot for sale in Eghvard ""Kanach Aru"". All communications are nearby. The front length is 20,5 meters.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You․",Dec-12-2022_20-02,,https://list.am/en/item/14426241,Direct Lease,6 months,1 month,Not included
Multifunctional Space,,100 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Zovuni,"700,000 ֏",AMD,"Կոդ՝ D-22345Վարձով է տրվում Կոմերցիոն տարածք Զովունու սկզբնամասում։ Ճակատի երկարությունը՝ 12մ։ Տարածքը կապիտալ վերանորոգված է, առաջին գիծ։ Տարածքն ունի մշտական ջուր և գազ։ Հնարավոր է մասնակի վարձակալություն 70քմ-350․000դրամ, 100քմ-450․000դրամ (2x50քմ-250․000դրամ) ։ Ամբողջ տարածքը միասին 500․000դրամ։Գործակալության միջնորդավճարը կազմում է 50%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։Commercial area for rent in Zovuni. The lenght of the area is 12m. The area is newly renovated and is stationed on the 1st line. The area is supplied with constant water and gas. Partial rent of 50sq. M, 70sq. M, 100sq. M is possible.The commission of the Real Estate Agency is 50%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You․",Dec-12-2022_20-02,,https://list.am/en/item/17941085,Direct Lease,6 months,1 month,Not included
Multifunctional Space,,170 sq.m.,By agreement,Not available,Second Line,Separate from the Street,Kotayk › Proshyan,"600,000 ֏",AMD,"Code VT340:Commercial area for rent in Gheorg Chaush district. There are 2 separate buildings in the area. The area of the first building is 30 square meters, and the area of the second building is 140 square meters, of which 12 square meters is a basement. Stained glass windows are installed. The area will be handed over in a renovated condition. Suitable for any activity.Code VT-340Translated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/17562931,Direct Lease,6 months,By Agreement,Not included
Multifunctional Space,,1000 sq.m.,Not available,Not available,First Line,Common from the Street,"Kotayq street, Abovyan","150,000 ֏",AMD,"Area for rent in Abovyanfirst lineThe area is very largepossible part by part100_ 4000 m, cclosed parkingTranslated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/16104989,Direct Lease,6 months,By Agreement,Not included
Retail Space,,50 sq.m.,Not available,Not available,First Line,Common from the Street,"2-րդ փողոց, Աբովյան","90,000 ֏",AMD,"A space for rent, as a shop, next to the 7th micro road.Translated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/16337758,Direct Lease,1 year,By Agreement,Not included
Office Space,,30 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Kasagh,"270,000 ֏",AMD,"An area of 30 square meters is for rent, utilities are available, the area is suitable for a barbershop, dental clinic, office work and other similar works. It has a very convenient location.Translated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/18398775,Direct Lease,6 months,2 months,Not included
Everything Else,,1800 sq.m.,Not available,Not available,First Line,Common from the Street,"Ազատության փողոց, Ձորաղբյուր","100,000 ֏",AMD,1800 sq. M. Is for rent. Մ. Land on the front line of Bagrevand-Dzoraghbyur road.Translated from Armenian,Dec-12-2022_20-02,,https://list.am/en/item/17965172,Direct Lease,1 year,By Agreement,By Agreement
Retail Space,,200 sq.m.,,,,,Kotayk › Abovian,"3,000 ֏",AMD,"In the center of Abovyan city, inside the shopping center, on the second floor: Space for any activity is for rent (100 sq. M-200 sq. M)1 q. M-3000 AMD.Translated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/18006849,,,,
Industrial and Manufacturing,,454 sq.m.,Not available,Not available,Other,Separate from the Courtyard,Kotayk › Proshyan,"$1,200",USD,"""K-426"" COMMERCIAL SPACE FOR RENT IN PRUSHIAN. The total land area is 1100 square meters. Isbuilding: 454 sq. M.: 3-story stone building, 9 rooms. Zero condition. Roof: Tin roof. Provided with all utilities. Suitable for storage, production activities.For details, you can call the mentioned phone numbers.Translated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/18507225,Direct Lease,1 year,By Agreement,Not included
Multifunctional Space,,490 sq.m.,Not available,Not available,First Line,Separate from the Street,"2-й квартал Давташен 25, Ереван","100,000 ֏",AMD,Недвижимость в Котайке Абовян удобства под цех производство цена договорная можно перестроить как хостел можно каждый этаж по отдельности 130000драм этаж 180кв. М + балкон,Dec-12-2022_20-02,Outdoor parking,https://list.am/en/item/18199808,Direct Lease,1 year,2 months,Not included
Industrial and Manufacturing,,1500 sq.m.,Not available,Not available,Second Line,Common from the Street,Kotayk › Zovuni,"350,000 ֏",AMD,"It is located in the front part of the Yeghvard-Zovun highway, the surface of the land is 2000 square meters, 150-200 is suitable for the building, it is suitable as a warehouse, workshop, etc. , it has all utilities, three-phase electricity, no agency!Translated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/18254834,Direct Lease,3 months,1 month,Not included
Hotel,,225 sq.m.,,,,,"4-րդ փողոց, Արզնի","200,000 ֏",AMD,"Renovated rooms with all utilities in the hotel are for rent. All rooms have the necessary equipment, bathroom, constant hot and cold water, the rooms are located on the 2nd floor. On the 1st floor there is a fireplace, there are rooms for sitting separately, there is a kitchen with necessary equipment and dishes, the building is also for sale.Translated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/18459936,,,,
Industrial and Manufacturing,,450 sq.m.,Not available,Not available,First Line,Common from the Street,"Samvel Safaryan street, Yeghvard",100 ֏,AMD,"A storage area is for rent in the first line of Zoravan village near Yeghvard town. Has permanent drinking water, own electricity substation. The height of the building is 7 m, the length is 30 m, the width is 15 m. Entrance gate height 4.5 m, width 4 m. There is a fruit refrigerator 100 cubic meters. The building is for long-term rent. Rent is negotiableTranslated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/16451480,Direct Lease,3 years,6 months,Not included
