Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Furniture,Window Views,Appliances,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
Stone,No,Not available,3.0,100 sq.m.,4,1,from 2.6 m,2.0,Open balcony,Cosmetic Renovation,"Gorki Street 68, Gyumri","$70,000",USD,"4-х комнатную квартира в центре Гюмри (косметический ремонт и локальное отопление), с мебелью. Цена договорная",Nov-25-2022_14-09,,,,,,https://list.am/en/item/16273939,,,,,,
Stone,No,Not available,4.0,52 sq.m.,2,1,from 2.75 m,4.0,Open balcony,Partial Renovation,"Bulvarain street, Gyumri","$20,000",USD,"Mush 2 29sh 22 aptLocated east-west, with all utilities,I will exchange it with a one-room, two-story apartment.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/14726218,,,,,,
Stone,Yes,Not available,4.0,63 sq.m.,3,1,from 3 m,4.0,Open balcony,Euro Renovation,"Կ. Հալաբյան փողոց 8, Գյումրի","17,000,000 ֏",AMD,Newly renovated. It is possible to exchange with a 2-room apartment in Mush 2 district.Translated from Armenian,Nov-25-2022_14-09,,,Available,YArd view,,https://list.am/en/item/18083980,,,,,,
Stone,No,Not available,2.0,260 sq.m.,8+,2,from 3 m,2.0,Open balcony,Euro Renovation,"Ղարիբջանյան փողոց 21, Գյումրի","47,000,000 ֏",AMD,"The price is negotiable.Some of the pictures are presented.With garage, lavash ovenThe house is located near the city center, has separate entrances on the first and second floors from the street side. The second floor has a 16/2.5 floor and a wide balcony. It is equipped with an Ariston heating system (economy), has a garage and a working lavash oven (toaster), fruit trees, trees. Vineyard and a beautiful flower garden. The house also works as a guest house. It is also suitable for two families.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18240417,,,,,,
Stone,No,Not available,4.0,80 sq.m.,3,1,from 2.75 m,4.0,Multiple balconies,Partial Renovation,Shirak › Artik,"$22,000",USD,"Apartment for sale c. Artik Lambat 1st district 26h. The apartment is in good condition. It has 2 open balconies, a large kitchen, a high-quality heating system is installed, it is partially furnished, it also has a basement.Translated from Armenian",Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/17826910,,,,,,
Stone,No,Not available,5.0,72 sq.m.,3,1,from 2.8 m,3.0,Not available,Euro Renovation,"Շիրակացի փողոց 25Ա, Գյումրի","$40,000",USD,"The apartment is for sale with property, but it is also possible to sell without property,If you have any questions, call the mentioned phone numberTranslated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17555892,,,,,,
Stone,No,Not available,4.0,77 sq.m.,3,1,from 3 m,1.0,Open balcony,Old Renovation,Shirak › Ashotsk,"$15,000",USD,The apartment has under and cold water permanent has a general heating systemTranslated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/16221823,,,,,,
Panels,No,Not available,5.0,80 sq.m.,3,1,from 2.7 m,5.0,Open balcony,Old Renovation,"Khrimyan Hayrik Highway, Gyumri","$27,000",USD,"The apartment is in state condition. The apartment has constant cold water, gas stove and partial ownership.Translated from Armenian",Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/18074503,,,,,,
Monolith,No,Not available,4.0,94 sq.m.,4,1,from 2.8 m,2.0,Multiple balconies,Designer Renovation,"Trdat Architector street 16, Gyumri","$37,500",USD,"This 4-room apartment is for sale in Ani district, near Karmir Khach, which is located on the 2nd floor of a 4-story building. It is provided with round-the-clock water supply and gas supply. The total area is 94 sq/m, it has 2 open and 1 closed commercial balconies. Wooden door, wooden windows, interior doors are made of wood, the bathroom is tiled, an individual heating system is installed, there is a possibility for outdoor parking on the side of the yard. There is cable TV. And the Internet network. Location: East-west. All necessary shops, kindergarten, school are nearby.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18209964,,,,,,
Monolith,No,Not available,4.0,98 sq.m.,4,2,from 2.7 m,3.0,Open balcony,No Renovation,Shirak › Gyumri,"$37,000",USD,"A 4-room apartment is for sale on the 3rd and 4th floors of a 4-story building on Charentsi street in Ani district. There are 2 bathrooms in the apartment, an open balcony. The kitchen is renovated, it is sold together with the furniture. The apartment is on both sides. There is a kindergarten, school, friends nearby.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18024919,,,,,,
Stone,No,Not available,2.0,62 sq.m.,3,1,from 2.8 m,2.0,Open balcony,Partial Renovation,"Տուֆագործների փողոց 15, Արթիկ","$10,000",USD,Call for details. Exchange with car.Translated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/17225947,,,,,,
Monolith,No,Not available,4.0,85 sq.m.,4,1,from 2.75 m,4.0,Closed balcony,Old Renovation,"Shirakatsi St, Gyumri","$27,000",USD,"Продаеться 4 комнатная квартира на 8 военном городке на 4 этаже требуется косметический ремонт, в квартире много лет не кто не проживал. Торг т. 89248668318",Nov-25-2022_14-09,,,,,,https://list.am/en/item/16562522,,,,,,
Stone,No,Not available,5.0,100 sq.m.,4,1,from 2.75 m,5.0,Open balcony,Major Renovation,"Սասունցի Դավթի փողոց 43/1, Արթիկ","$30,000",USD,"An apartment is for sale urgently. The one- or two-room apartments are connected and exchanged. Iron entrance door, gas, light, water, heating system, the roof is partially repaired. There is a storage room and a garage in the yard. The apartment is for sale together with the property. The rest by phone.Translated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/17921961,,,,,,
Panels,No,Not available,3.0,79 sq.m.,3,1,from 2.8 m,1.0,Closed balcony,Cosmetic Renovation,"13-րդ փողոց 7Բ, Գյումրի","$40,000",USD,The apartment has a separate entrance. There is a cash system. The house has 2 basements. Call for other details.Translated from Armenian,Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/18030222,,,,,,
Stone,No,Not available,3.0,79 sq.m.,3,1,from 2.5 m,2.0,Open balcony,Cosmetic Renovation,"Ղանդիլյանի փողոց 10, Գյումրի","$50,000",USD,"Address: Ghandilyan str. , 10 sh. Apt. 5. K. B. H. , With euro windows and balcony door, private garage.Bargaining is possible.It is exchanged with his own house.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/11530076,,,,,,
Stone,No,Not available,4.0,68 sq.m.,3,1,from 2.6 m,4.0,Open balcony,Cosmetic Renovation,"Գարեգին Նժդեհի հրապարակ 4Բ, Գյումրի","$24,900",USD,"It is a very bright, comfortable house, urgently negotiableTranslated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17654472,,,,,,
Stone,No,Not available,2.0,68 sq.m.,4,2,from 2.5 m,2.0,Open balcony,Old Renovation,Shirak › Sarakap,"$5,000",USD,I will exchange the price with the appropriate carTranslated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/16755087,,,,,,
Stone,No,Not available,3.0,70 sq.m.,2,1,from 3 m,1.0,Not available,Major Renovation,"Shirakatsi street 58Բ, Gyumri","$56,000",USD,"CAPITALLY RENOVATED UNINHABITED WITH COMPLETELY NEW PROPERTY AND APPLIANCES...In the central part of the city, near BIG VEGA, on Shirakatsi Street, this Capital Renovated 2-room apartment is for sale, located on the 1st floor of a 3-story building. It is provided with round-the-clock water supply and gas supply. The total area is 70 sq/m. Iron door, euro windows, interior doors are euro, the bathroom and kitchen are tiled, an individual heating system is installed, the floor is laminate. Cable TV and Internet are available. All necessary shops, a kindergarten are nearby. , school.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18050012,,,,,,
Panels,No,Not available,5.0,81 sq.m.,3,1,from 2.75 m,4.0,Open balcony,No Renovation,"Proshyan Street, Artik","$11,000",USD,The apartment is in Lambat. An apartment on Lmbat street of Artiki is urgently paid for. UnrepairedTranslated from Armenian,Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18055148,,,,,,
Monolith,Yes,Not available,4.0,62 sq.m.,2,1,from 2.6 m,1.0,Multiple balconies,Partial Renovation,"Trdat Architector street 14, Gyumri","$30,000",USD,"2-room apartment for sale, 58 Trdat Chartarapet street, 1st floor, kitchen and bathroom is tiled, individual heating system / BAXI / partial renovation has two open balconies, basement, location south-east.Translated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/16640004,,,,,,
Stone,No,Not available,5.0,97 sq.m.,3,1,from 2.8 m,1.0,Open balcony,Euro Renovation,"Բորյան փողոց 4, Գյումրի","28,000,000 ֏",AMD,Продается большая и удобная квартира в городе Гюмри со всеми комунальнимы удобствами. Квартира находится в центре города. Евро-ремонт. 97 кв. М. Можно использывать в коммерческих целях.,Nov-25-2022_14-09,,,,,,https://list.am/en/item/18254882,,,,,,
Stone,Yes,Not available,5.0,31 sq.m.,1,1,from 2.7 m,3.0,Open balcony,Major Renovation,"Schedrin street, Gyumri","11,000,000 ֏",AMD,"For sale: 1-room apartment, FULLY RENOVATED, 31 sq. M. The plot is located on the 3rd floor of a 5-story residential building in front of VIVA SUPERMARKET on Shchedrin Street. A euro door is installed, interior doors are euro, euro windows are installed. It is provided with round-the-clock water supply and gas supply. An individual heating system is installed. The bathroom and kitchen are tiled. The apartment has 1 open balcony. There is cable TV and Internet. Outdoor parking spaces are provided for cars. All necessary shops are nearby.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18078444,,,,,,
Stone,No,Not available,4.0,90 sq.m.,5,1,from 3 m,1.0,Closed balcony,Designer Renovation,"Vazgen Sargsyan street, Gyumri","$42,000",USD,"The apartment is located in V. Next to ""Tsirana"" supermarket on 1/63 Sargsyan. It is provided with all the communal amenities. It is convenient to use it as a shop, office or other purpose. The apartment is for sale with property.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17232924,,,,,,
Stone,No,Not available,4.0,68 sq.m.,3,2,from 2.7 m,3.0,Multiple balconies,Old Renovation,"Arevelyan street, Gyumri","$20,000",USD,"3-room apartment on the third floor of a 4-storey building is for sale.At the airport (Airport)Without a mediator.State condition, built after the earthquake (1991) is a very strong building. Gas, water, light. Permanent water supply. Privatized.It has two open balconies. Position: East-west. Iron door, the floor of the house is parquet. It is a dry apartment. It is also possible to exchange with 1 or 2 rooms from the same building. There is a metal garage. It is also possible without a garage ($ 18,000)Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17853986,,,,,,
Stone,No,Not available,5.0,69 sq.m.,2,1,from 2.7 m,3.0,Open balcony,Partial Renovation,"Khrimyan Hayrik Highway, Gyumri","$25,000",USD,"Apartment for saleQ ․ Gyumri, Kh ․ DadArea of 69 square meters2 rooms5 / 3rd floorHot առը cold waterBalcony:LightHeating SystemWith all utilitiesThe sale price is $ 25,000Code 6822Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17832878,,,,,,
Stone,No,Not available,3.0,95 sq.m.,3,1,from 2.75 m,1.0,Open balcony,Old Renovation,Shirak › Gyumri,"$28,000",USD,"Ghandilyan Street, originally renovated, 3 rooms with tiled floor, communal facilities, open balconyTranslated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18311314,,,,,,
Monolith,No,Not available,4.0,110 sq.m.,4,1,from 2.75 m,3.0,Open balcony,Major Renovation,"Մինաս Ավետիսյանի փողոց 25Ա, Գյումրի","$60,000",USD,"ALL PROPERTY ""TECHNICAL"" IS INCLUDED IN THE SALE PRICECAPITALLY RENOVATED 4-room apartment for sale 110 sq. M. Մ. Located in Ani district, on Minas Avetisyan street, on the 4th floor of a 4-storey residential building. Euro door is installed, interior doors are euro, euro windows are installed. It is provided with round-the-clock water and gas supply. Individual heating system is installed. The bathroom and the kitchen is tiled. It has a closet. The apartment has 2 open balconies. The apartment has a security system. There is cable TV and internet. Outdoor parking is provided for cars. All the necessary shops are nearby.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17214256,,,,,,
